Company Name,Website,City,Segment,What They Make,Revenue Band,Decision Maker,E1 Producer,E2 Accessible,C3 Differentiated,C4 Decision Maker Quality,C5 Growing Sector,C6 Growth Signals,C7 Systems Maturity,C8 Leadership Succession,Federer Score,Band,Verdict,Personalization Hook,Source,
Azad Engineering,azad.in,Hyderabad,Precision Engineering,"Aerospace, defence & energy precision components",₹300–500Cr,Rakesh Chopdar,PASS – Own manufacturing facilities,PASS – Hyderabad operations,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93,A,Strong Federer,Opened dedicated manufacturing facility for Baker Hughes,Company website; LinkedIn; News,
Ananth Technologies,ananthtech.com,Hyderabad,Aerospace & Defence,Satellite systems and avionics,₹100–300Cr,Dr. Subba Rao Pavuluri,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Strong (15),100,A,Textbook Federer,Private GSO satellite authorization,Company website; News,
Dhruva Space,dhruvaspace.com,Hyderabad,Space Technology,Satellite platforms,₹30–100Cr,Sanjay Nekkanti,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Moderate (10),Moderate (8),83,A,Strong Fit,Indigenous satellite platform,Company website,
Skyroot Aerospace,skyroot.in,Hyderabad,Space Technology,Launch vehicles,Unknown,Pawan Chandana,PASS,PASS,Strong (20),Strong (15),Strong (15),Strong (15),Moderate (10),Moderate (8),83,A,Strong Fit,Vikram rocket tests,Company website,
Premier Medical Corporation,premiermedcorp.com,Hyderabad,Medical Devices,Orthopaedic implants,₹100–300Cr,Management team,PASS,PASS,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),79,B,Good Fit,Exports medical devices globally,Company website,
Pennar Industries,pennar.com,Hyderabad,Precision Engineering,"Engineered steel products, railways, solar structures",₹300–500Cr,Aditya Rao,PASS – Own manufacturing plants,PASS – India operations,Moderate (10),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),69,B,Probable Federer,Expanding engineering solutions portfolio,Company website; LinkedIn,
HBL Engineering,hbl.in,Hyderabad,Industrial Electronics,"Specialty batteries, railway electronics, defence electronics",>₹500Cr,Dr. A. J. Prasad,PASS – Manufacturing facilities,PASS – Hyderabad HQ,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93,A,Strong Federer,Strong railway signalling and defence focus,Company website; Annual report,
Neuland Laboratories,neulandlabs.com,Hyderabad,Specialty APIs,Complex APIs and peptide manufacturing,>₹500Cr,Dr. D. R. Rao,PASS – API manufacturing plants,PASS – India operations,Strong (20),Strong (15),Strong (15),Strong (15),Strong (20),Moderate (8),93,A,Strong Federer,Focus on complex chemistry and CDMO,Company website; Annual report,
Optimus Pharma,optimuspharma.com,Hyderabad,Specialty Pharma,APIs and finished dosage formulations,₹300–500Cr,Management Team,PASS – Own manufacturing,PASS – Hyderabad,Moderate (10),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),69,B,Probable Federer,USFDA approved facilities,Company website,
Premier Medical Corporation,premiermedcorp.com,Hyderabad,Medical Devices,Orthopaedic implants and surgical products,₹100–300Cr,Management Team,PASS – Medical device manufacturing,PASS – India operations,Strong (20),Moderate (8),Strong (15),Moderate (8),Strong (20),Moderate (8),79,B,Good Fit,Exports to multiple international markets,Company website,
